,Week,Rank,Fantasy
1307,14,18,15.4
1308,15,20,16.6
1309,16,19,6.2
1310,1,22,10
1311,2,20,7.9
1312,3,2,10.8
1313,4,1,9.3
1314,5,10,5.3
1315,6,21,10.9
1316,7,32,7.9
1317,8,29,18.9
1318,9,3,18.3
1319,10,15,22.9
1320,11,19,11.9
1321,12,6,8.8
1322,13,22,7.8
1323,14,25,8.4
1324,15,3,6.5
1325,16,10,4.5
1326,1,27,11.7
1327,2,7,5.4
1328,3,24,10.2
1329,4,19,19.3
1330,5,17,10.6
1331,7,23,16.1
1332,8,15,17.1
1333,9,20,16.8
1334,10,8,10.2
1335,11,21,11.6
1336,12,5,8.6
1337,14,1,9
1338,15,8,6.4
1339,16,5,3.9
1340,1,17,11
1341,2,16,15.1
1342,3,27,13.2
1343,4,12,20.8
1344,5,13,21.4
1345,6,24,34.2
1346,7,29,19.6
1347,8,16,13.8
1348,9,4,10.8
1349,11,15,26.4
1350,12,13,4.5
1351,13,23,7.9
1352,14,11,17.2
1353,1,2,5.2
1354,2,29,2.1
1355,3,23,12.1
1356,4,21,17.2
1357,5,11,7
1358,6,1,4
1359,7,3,4.1
1360,8,22,4.9
1361,9,6,5.7
1362,10,3,0.8
1363,11,22,20.9
1364,12,32,2
1365,14,20,17.4
1366,15,19,8.5
1367,16,11,11.8
1368,1,29,26.9
1369,2,32,17.1
1370,3,17,4.9
1371,4,13,4
1372,5,6,5.5
1373,6,22,19.1
1374,7,10,8.1
1375,8,20,2.3
1376,10,10,14.1
1377,11,2,6.6
1378,12,22,8.2
