,Week,Opponent,Rank,Fantasy
830,9,SEA,15,10.4
831,10,CAR,10,3.1
832,11,MIA,3,14.1
833,13,NYG,29,6.8
834,1,CIN,21,32.3
835,2,SDG,11,26.4
836,3,MIA,20,20.1
837,4,BUF,8,10
838,5,SFO,32,25.1
839,6,NWE,3,7
840,7,MIA,20,18.8
841,8,BUF,8,6.7
842,9,BAL,6,24.4
843,10,CLE,24,8.8
844,11,ARI,12,9.9
845,12,HOU,16,27.4
846,13,PIT,1,10.7
847,14,SEA,22,25.4
848,15,NWE,3,7.7
849,16,STL,25,17.5
850,1,NYJ,4,10.7
851,2,MIA,20,7.1
852,3,BAL,6,9.8
853,4,PIT,1,18.3
854,5,CLE,24,5.7
855,6,DEN,9,17.9
856,7,TEN,30,12.1
857,8,DAL,28,11.4
858,10,PIT,1,6.3
859,11,CLE,24,32.7
860,12,BAL,6,5.9
861,13,NWE,3,10.4
862,14,BUF,8,17
863,15,NYG,17,10.4
864,16,PHI,2,27.9
865,2,TAM,10,4.5
866,3,SFO,32,25.4
867,4,STL,25,21.4
868,5,NWE,3,16.7
869,6,ARI,12,6.5
870,7,CAR,15,32.8
871,8,SFO,32,28
872,9,STL,25,15.9
873,10,MIA,20,15.6
874,11,BUF,8,3.9
875,12,DAL,28,20.4
876,13,MIN,26,18.4
877,14,NYJ,4,7.6
878,15,ARI,12,33.4
879,16,ATL,14,15.5
880,1,IND,19,8.6
881,2,ARI,12,15.7
882,3,BUF,8,14.2
883,4,MIA,20,9.4
884,5,SEA,22,23.1
885,6,NYJ,4,11.5
886,8,STL,25,19.1
887,9,BUF,8,15.6
888,10,KAN,29,21.8
889,11,BAL,6,20.3
890,12,CLE,24,20
891,13,CIN,21,14.8
892,14,MIA,20,24.2
893,15,NYJ,4,10.1
894,16,SFO,32,17.4
895,1,TAM,10,22.3
896,2,NYG,17,11.8
897,3,DAL,28,13.1
898,4,CLE,24,11.3
899,5,BAL,6,6.9
900,6,CHI,13,18.2
901,7,GNB,23,8.7
902,8,DET,18,20.4
903,9,CIN,21,11.3
904,10,PHI,2,3.3
905,11,PIT,1,1.7
906,12,NYG,17,28.2
907,13,PHI,2,22.2
908,14,SFO,32,11
909,15,DAL,28,3.2
910,1,HOU,16,17.7
911,2,NYJ,4,22.3
912,3,DEN,9,8.52
913,4,TEN,30,22
914,5,JAX,7,19.4
915,6,ATL,14,14
916,7,CAR,15,10
917,8,OAK,31,13.8
918,10,OAK,31,23.3
919,11,KAN,29,22.3
920,12,DEN,9,25
921,13,TAM,10,19
922,14,CLE,24,22.6
923,15,IND,19,29.6
924,1,NWE,3,13.1
925,2,TEN,30,24.7
926,3,GNB,23,13.9
927,4,JAX,7,16.8
928,5,OAK,31,21.5
929,6,JAX,7,14.1
930,7,KAN,29,12.4
931,8,MIN,26,17.9
932,9,HOU,16,10
933,10,CHI,13,27.5
934,11,DET,18,12.1
935,12,TEN,30,25.6
936,13,HOU,16,15.8
937,14,BAL,6,15.2
938,15,SDG,11,14.7
939,1,PHI,2,26
940,3,CLE,24,21.4
941,4,GNB,23,25.6
942,5,DAL,28,25.8
943,6,DET,18,23.2
944,7,MIN,26,23.1
945,8,CHI,13,25.1
946,9,ARI,12,22
947,10,ATL,14,13.1
948,11,PHI,2,11.9
949,13,BAL,6,8.4
950,14,PIT,1,17.4
951,15,CIN,21,18.3
952,16,DAL,28,23.6
953,1,JAX,7,4.3
954,2,OAK,31,4.4
955,3,NWE,3,14.2
956,4,NYJ,4,5.9
957,5,MIA,20,23.1
958,6,BAL,6,20.3
959,7,ARI,12,4.9
960,8,NYJ,4,12.7
961,9,NWE,3,38.2
962,10,STL,25,7.5
963,11,SEA,22,23.7
964,12,MIA,20,2.6
965,13,CLE,24,21.6
966,14,CIN,21,20.6
967,1,KAN,29,0.2
968,2,JAX,7,2.7
969,3,SDG,11,3.2
970,4,TAM,10,27.1
971,5,CAR,15,24
972,6,OAK,31,11
973,7,CIN,21,11.2
974,8,ATL,14,12.6
975,9,HOU,16,25.1
976,11,OAK,31,13.3
977,12,SDG,11,4.2
978,13,MIA,20,4.1
979,14,KAN,29,30.1
980,15,TEN,30,7.6
981,1,SEA,22,5.7
982,2,SFO,32,-1.9
983,5,TAM,10,8.2
984,6,MIN,26,21.3
985,7,OAK,31,17.9
986,8,SDG,11,14.1
987,9,KAN,29,18.7
988,10,DEN,9,12.9
989,11,ATL,14,11
990,12,CAR,15,0.3
991,13,DAL,28,24
992,14,TAM,10,9.8
993,15,ATL,14,12.8
994,16,CAR,15,21.4
995,1,STL,25,14.7
996,2,NWE,3,9.1
997,3,ATL,14,5.6
998,5,SFO,32,12.3
999,6,SEA,22,19.6
1000,7,BUF,8,6.9
1001,8,MIA,20,10.5
1002,9,NYG,17,18.7
1003,10,CAR,15,3
1004,11,NYJ,4,2.1
1005,13,SFO,32,11
1006,14,STL,25,9.5
1007,15,SEA,22,6.5
1008,16,TAM,10,8.2
